slug;volume;intent;class;disposition;redirect_to;reason;city;theme
expert-comptable;53050;Commercial;;redirect;/;intent porté par une route riche existante;;
expert-comptable-nantes;17950;Commercial;geo;redirect;/expert-comptable/nantes;géo pur → annuaire ville (208 étabs);Nantes;
expert-comptable-strasbourg;14600;Commercial;geo;redirect;/expert-comptable/strasbourg;géo pur → annuaire ville (248 étabs);Strasbourg;
salaire-expert-comptable;13350;Informational;informational;enrich;;LP à enrichir;;
expert-comptable-independant;13150;Commercial;commercial;enrich;;LP à enrichir;;
expert-comptable-a-proximite;12820;Commercial;;redirect;/annuaire/experts-comptables;intent porté par une route riche existante;;
expert-comptable-salaire;11870;Informational;informational;redirect;/ressources/salaire-expert-comptable;doublon de permutation → salaire-expert-comptable;;
expert-comptable-nice;10740;Commercial;geo;redirect;/expert-comptable/nice;géo pur → annuaire ville (475 étabs);Nice;
expert-comptable-paris;10060;Commercial;geo;redirect;/expert-comptable/paris;géo pur → annuaire ville (5368 étabs);Paris;
ordre-des-experts-comptables;9390;Navigational;;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
l-expert-comptable;9200;Navigational;navigational;enrich;;LP à enrichir;;
expert-comptable-villeurbanne;8890;Commercial;geo;redirect;/expert-comptable/villeurbanne;géo pur → annuaire ville (129 étabs);Villeurbanne;
l-expert-comptable-com;7660;Navigational;;redirect;/ressources/l-expert-comptable;fusion manuelle (même intent);;
expert-comptable-montpellier;7460;Commercial;geo;redirect;/expert-comptable/montpellier;géo pur → annuaire ville (285 étabs);Montpellier;
expert-comptable-saint-herblain;7120;Commercial;geo;redirect;/expert-comptable/saint-herblain;géo pur → annuaire ville (60 étabs);Saint-Herblain;
ordre-expert-comptable;6610;Navigational;;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
expert-comptable-aix-en-provence;6160;Commercial;geo;redirect;/expert-comptable/aix-en-provence;géo pur → annuaire ville (263 étabs);Aix-en-Provence;
experts-comptables;5830;Navigational;;redirect;/;intent porté par une route riche existante;;
expert-comptable-toulouse;5320;Commercial;geo;redirect;/expert-comptable/toulouse;géo pur → annuaire ville (499 étabs);Toulouse;
expert-comptable-etude;5030;Informational;informational;enrich;;LP à enrichir;;
etude-expert-comptable;5020;Informational;informational;redirect;/ressources/expert-comptable-etude;doublon de permutation → expert-comptable-etude;;
nicolas-sapin-expert-comptable;4920;;;noindex;;personne physique / cabinet nommé;;
logiciel-expert-comptable;4760;Commercial;commercial;enrich;;LP à enrichir;;
expert-comptable-start-up;4670;Commercial;;redirect;/secteurs/start-up;intent porté par une route riche existante;;
expert-comptable-restauration;4640;Commercial;;redirect;/secteurs/restauration;intent porté par une route riche existante;;
expert-comptable-en-ligne;4520;Commercial;commercial;enrich;;LP à enrichir;;
tiime-expert-comptable;4200;"Navigational, Transactional";navigational;enrich;;LP à enrichir;;
convention-collective-expert-comptable;3030;Informational;informational;enrich;;LP à enrichir;;
ordre-experts-comptables;2920;"Navigational, Transactional";;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
congres-expert-comptable-2025;2890;Navigational;;redirect;/ressources/congres-expert-comptable;consolidation évènements profession;;
expert-comptable-immobilier;2860;Commercial;;redirect;/secteurs/immobilier;intent porté par une route riche existante;;
postes-expert-comptable;2850;"Informational, Transactional";informational;enrich;;LP à enrichir;;
expert-comptable-lyon;2760;Commercial;geo;redirect;/expert-comptable/lyon;géo pur → annuaire ville (733 étabs);Lyon;
expert-comptable-medecin;2730;Informational;;redirect;/professions/medecins;intent porté par une route riche existante;;
verspieren-expert-comptable;2730;"Navigational, Transactional";navigational;enrich;;LP à enrichir;;
prix-expert-comptable;2680;Transactional;commercial;enrich;;LP à enrichir;;
expert-comptable-grenoble;2400;Commercial;geo;redirect;/expert-comptable/grenoble;géo pur → annuaire ville (92 étabs);Grenoble;
expert-comptable-rouen;2390;Commercial;geo;redirect;/expert-comptable/rouen;géo pur → annuaire ville (83 étabs);Rouen;
expert-comptable-profession-liberale;2370;Informational;;redirect;/secteurs/profession-liberale;intent porté par une route riche existante;;
convention-collective-des-experts-comptables;2280;Informational;;redirect;/ressources/convention-collective-expert-comptable;consolidation sous-thèmes CCN;;
paris-expert-comptable;2180;Commercial;geo;redirect;/expert-comptable/paris;géo pur → annuaire ville (5368 étabs);Paris;
sasu-expert-comptable;2060;Commercial;commercial;enrich;;LP à enrichir;;
diplome-expert-comptable;2040;Informational;informational;enrich;;LP à enrichir;;
annuaire-des-experts-comptables;2040;Navigational;;redirect;/annuaire/experts-comptables;intent porté par une route riche existante;;
tarif-expert-comptable;2030;Informational;informational;enrich;;LP à enrichir;;
freelance-expert-comptable;1960;Informational;informational;enrich;;LP à enrichir;;
expert-comptable-lmnp;1950;Commercial;;redirect;/professions/loueurs-en-meuble-lmnp-lmp;intent porté par une route riche existante;;
annuaire-expert-comptable;1930;Navigational;;redirect;/annuaire/experts-comptables;intent porté par une route riche existante;;
devenir-expert-comptable;1920;Commercial;informational;enrich;;LP à enrichir;;
expert-comptable-marseille;1890;Commercial;geo;redirect;/expert-comptable/marseille;géo pur → annuaire ville (930 étabs);Marseille;
metier-expert-comptable;1780;Informational;informational;enrich;;LP à enrichir;;
expert-comptable-stagiaire;1750;Informational;informational;enrich;;LP à enrichir;;
expert-comptable-memorialiste;1750;Informational;informational;enrich;;LP à enrichir;;
lettre-de-mission-expert-comptable;1730;Informational;informational;enrich;;LP à enrichir;;
expert-comptable-bordeaux;1690;Commercial;geo;redirect;/expert-comptable/bordeaux;géo pur → annuaire ville (339 étabs);Bordeaux;
ordre-des-experts-comptables-lille;1660;"Informational, Transactional";;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
grille-salaire-expert-comptable-2025;1610;Informational;;redirect;/ressources/grille-salaire-expert-comptable;consolidation grilles de salaire CCN;;
combien-gagne-un-expert-comptable;1500;Informational;informational;enrich;;LP à enrichir;;
assurance-expert-comptable;1500;Informational;informational;enrich;;LP à enrichir;;
prix-d-un-expert-comptable;1420;Transactional;commercial;redirect;/ressources/prix-expert-comptable;doublon de permutation → prix-expert-comptable;;
