query,normalized,Volume_Y,intent,kd,cpc,serp_features,n_variants
expert comptable,expert comptable,35720,Commercial,66.0,4.34,"Image, Video, Short videos, People also ask, Local pack, Related searches, See results about",5
expert comptable salaire,expert comptable salaire,8090,Informational,27.0,0.18,"Featured snippet, Sitelinks, Video, People also ask, Related searches",4
salaire expert comptable,salaire expert comptable,7200,Informational,29.0,0.18,"Featured snippet, Sitelinks, Video, People also ask, Related searches",3
ordre des experts comptables,ordre des experts comptables,6990,Navigational,56.0,2.17,"Sitelinks, Video, Video carousel, People also ask, Local pack, Related searches",2
ordre expert comptable,ordre expert comptable,5510,Navigational,67.0,2.17,"Sitelinks, Video, People also ask, Related searches",2
l'expert comptable,l expert comptable,4440,Navigational,42.0,0.0,"Sitelinks, Video, Short videos, People also ask, Knowledge panel, Related searches",5
cabinet expert comptable,cabinet expert comptable,3740,Commercial,69.0,2.89,"Image, Video carousel, People also ask, Local pack, Related searches, Ads bottom",2
expert comptable en ligne,expert comptable en ligne,3380,Commercial,56.0,8.75,"Video carousel, People also ask, Related searches",2
expert comptable etude,expert comptable etude,3180,Informational,42.0,0.5,"Featured snippet, Image pack, Video, Short videos, People also ask, Related searches",4
expert comptable paris,expert comptable paris,3160,Commercial,51.0,5.51,"Image, People also ask, Local pack, Related searches",2
experts comptables,experts comptables,2510,Navigational,65.0,4.34,"Video, People also ask, Local pack, Related searches, See results about",2
convention collective expert comptable,convention collective expert comptable,2430,Informational,26.0,0.29,"People also ask, Related searches, Ads bottom",4
l expert comptable com,l expert comptable com,2200,Navigational,32.0,3.76,"Sitelinks, Video, People also ask, Knowledge panel, Related searches",7
cabinet d expert comptable,cabinet d expert comptable,2170,Commercial,81.0,2.25,"Image, Video, Video carousel, People also ask, Local pack, Related searches, See results about",5
etude expert comptable,etude expert comptable,2100,Informational,34.0,0.5,"Image pack, Video carousel, People also ask, Related searches, Ads bottom",3
expert comptable lyon,expert comptable lyon,2010,Commercial,42.0,5.7,"Image, People also ask, Local pack, Related searches, Ads bottom",2
postes expert comptable,postes expert comptable,1900,"Informational, Transactional",15.0,0.0,Related searches,1
expert comptable à proximité,expert comptable a proximite,1900,Commercial,31.0,4.48,"Sitelinks, Image, People also ask, Local pack, Related searches, Ads bottom",1
annuaire expert comptable,annuaire expert comptable,1670,Navigational,24.0,1.83,"Sitelinks, Video, Related searches",2
expert comptable autour de moi,expert comptable autour de moi,1640,Commercial,69.0,3.24,"Image, Video, People also ask, Local pack, Related searches",2
annuaire des experts comptables,annuaire des experts comptables,1610,Navigational,26.0,1.61,"Sitelinks, Related searches",2
etude pour expert comptable,etude pour expert comptable,1440,Informational,26.0,0.5,"Image pack, Video, Video carousel, Short videos, People also ask, Related searches",2
l-expert-comptable.com avis,l expert comptable com avis,1400,Informational,,4.4,"Video, People also ask, Knowledge panel, Related searches",3
expert comptable cabinet,expert comptable cabinet,1390,Commercial,69.0,2.89,"People also ask, Local pack, Related searches",2
expert comptable nantes,expert comptable nantes,1370,Commercial,30.0,4.42,"Image, People also ask, Local pack, Related searches, Ads bottom",2
convention collective des experts comptables,convention collective des experts comptables,1300,Informational,26.0,0.65,"Sitelinks, Video, People also ask, Related searches, Ads bottom",2
expert comptable mémorialiste,expert comptable memorialiste,1280,Informational,19.0,2.79,"Featured snippet, Sitelinks, Image, Video, People also ask, Related searches",3
expert comptable marseille,expert comptable marseille,1260,Commercial,43.0,4.81,"Sitelinks, Image, People also ask, Local pack, Related searches, Ads bottom",2
grille salaire expert comptable 2025,grille salaire expert comptable 2025,1180,Informational,17.0,0.0,"Image pack, Video, People also ask, Related searches",2
expert comptable immobilier,expert comptable immobilier,1110,Commercial,21.0,3.59,"Sitelinks, Image, Video, People also ask, Local pack, Related searches, Ads bottom",2
diplome expert comptable,diplome expert comptable,1100,Informational,36.0,0.76,"Sitelinks, Image pack, Video, Short videos, People also ask, Knowledge panel, Related searches, Ads bottom",4
logiciel expert comptable,logiciel expert comptable,1050,Commercial,36.0,5.0,"Video, People also ask, Related searches, Ads top, Ads bottom",2
experte comptable,experte comptable,1030,Commercial,43.0,4.34,"Video, People also ask, Local pack, Related searches",2
ordre experts comptables,ordre experts comptables,1010,"Navigational, Transactional",59.0,2.17,"Sitelinks, Video, Video carousel, People also ask, Related searches",2
expert comptable annuaire,expert comptable annuaire,1000,"Informational, Transactional",23.0,1.83,"People also ask, Related searches",1
devenir expert comptable,devenir expert comptable,920,Commercial,26.0,1.5,"Sitelinks, Image pack, Video, People also ask, Related searches, Ads bottom",2
cabinet expert comptable paris,cabinet expert comptable paris,910,Commercial,42.0,2.52,"Image, People also ask, Local pack, Related searches",2
fiducial mon expert comptable,fiducial mon expert comptable,880,"Navigational, Transactional",25.0,1.53,"Video, Related searches, Ads bottom",1
avis sur l-expert-comptable.com,avis sur l expert comptable com,880,"Informational, Commercial",,0.0,"Sitelinks, Image, Video, People also ask",3
elnet expert comptable,elnet expert comptable,880,Navigational,26.0,0.0,"Sitelinks, Related searches, Ads bottom",3
salaire d un expert comptable,salaire d un expert comptable,870,Informational,27.0,0.08,"Featured snippet, Sitelinks, Video, People also ask, Related searches",3
congres expert comptable 2025,congres expert comptable 2025,860,Navigational,24.0,0.0,"Sitelinks, People also ask, Related searches",4
expert comptable bordeaux,expert comptable bordeaux,860,Commercial,39.0,4.45,"Image, People also ask, Local pack, Related searches",2
expert comptable start up,expert comptable start up,850,Commercial,19.0,7.55,"Local pack, Related searches",4
expert comptable rouen,expert comptable rouen,810,Commercial,30.0,4.64,"Sitelinks, Image, People also ask, Local pack, Related searches",2
expert comptable diplome,expert comptable diplome,810,"Informational, Transactional",38.0,1.07,"Sitelinks, Video, People also ask, Related searches, See results about, Ads bottom",5
expert comptable indépendant,expert comptable independant,800,Commercial,30.0,3.45,"Sitelinks, People also ask, Local pack, Related searches, Ads top, Ads middle",3
expert comptable lmnp,expert comptable lmnp,790,Commercial,30.0,7.51,"Sitelinks, Image, Image pack, Video, People also ask, Local pack, Related searches, Ads bottom",2
expert comptable creation entreprise,expert comptable creation entreprise,780,Commercial,25.0,5.95,"Sitelinks, Video carousel, People also ask, Local pack, Related searches, Ads top, Ads bottom",3
expert comptable toulouse,expert comptable toulouse,770,Commercial,41.0,4.2,"Image, People also ask, Local pack, Related searches",2
formation expert comptable,formation expert comptable,750,Commercial,25.0,1.56,"Video, People also ask, Related searches, Ads bottom",2
expert comptable à toulouse,expert comptable a toulouse,740,Commercial,40.0,4.2,"Image, People also ask, Local pack, Related searches",2
expert comptable logiciel,expert comptable logiciel,740,Commercial,56.0,5.0,"Video carousel, People also ask, Related searches, Ads bottom",2
expert comptable formation,expert comptable formation,730,Commercial,21.0,1.56,"Video, Short videos, People also ask, Related searches, Ads bottom",2
expert comptable profession libérale,expert comptable profession liberale,720,Informational,20.0,4.07,"People also ask, Related searches",3
comptable expert,comptable expert,720,Commercial,79.0,4.76,"Sitelinks, Video carousel, People also ask, Local pack, Related searches, Ads top, Ads bottom",1
ordre des experts comptable,ordre des experts comptable,720,"Navigational, Transactional",59.0,2.17,"Sitelinks, Video, Video carousel, People also ask, Related searches",1
expert comptable strasbourg,expert comptable strasbourg,700,Commercial,28.0,4.36,"Image, People also ask, Local pack, Related searches",2
études expert comptable,etudes expert comptable,690,Informational,35.0,0.75,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Ads bottom",2
tarif expert comptable,tarif expert comptable,680,Informational,14.0,1.59,"Video, People also ask, Related searches",2
expert comptable pennylane,expert comptable pennylane,660,"Navigational, Transactional",22.0,3.26,"Video, People also ask, Knowledge panel, Related searches",2
expert comptable nice,expert comptable nice,660,Commercial,30.0,4.79,"Image, People also ask, Local pack, Related searches",2
